@relation stock
@attribute open real
@attribute high real
@attribute low real
@attribute close real
@data
11.1,11.1,11.1,11.1
1.6,1.6,1.6,1.6
16.3,16.3,16.3,16.3
46.03,46.03,46.03,46.03
1.79,1.79,1.79,1.79
83.0996,83.0996,83.0996,83.0996
23.33,23.33,23.33,23.33
10.42,10.42,10.42,10.42
2.29,2.29,2.29,2.29
18.38,18.38,18.38,18.38
116.58,116.58,116.58,116.58
0.67,0.67,0.67,0.67
20200101,5,5,5,5
2.72,2.72,2.72,2.72
9.79,9.79,9.79,9.79
1.28,1.28,1.28,1.28
16.46,16.46,16.46,16.46
13.67,13.67,13.67,13.67
10.61,10.61,10.61,10.61
28.25,28.25,28.25,28.25
13.6,13.6,13.6,13.6
12.22,12.22,12.22,12.22
4.247,4.247,4.247,4.247
6.09,6.09,6.09,6.09
21.13,21.13,21.13,21.13
0.82,0.82,0.82,0.82
